license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated,house_no,area,area_type
A96309,Dr. Sarah Singh,Sarah,Singh,,DO,Physician and Surgeon,Pulmonology,,Expired,2020-04-28,2025-03-07,2024-04-27,8154 Hollywood Blvd,San francisco,CA,95001,Los angeles,9176131681,,University of Michigan Medical School,1990,Johns Hopkins Hospital,Pulmonology,"English, Spanish, Portuguese",True,,No,UCSF Medical Center,2025-03-09,8154,Hollywood,Blvd
A35032,"William Johnson, MD PhD",William,Johnson,B,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-09-27,2025-02-22,2024-07-07,5669 Rodeo Dr,San jose,CA,95001,San bernardino,3475362541,william.johnson@email.com,Harvard Medical School,1986,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,,Unknown,,2025-03-07,5669,Rodeo,Dr
A74629,"Patricia Taylor, MD",Patricia,Taylor,,MD,Physician and Surgeon,Pathology,,Expired,2021-03-24,2025-02-14,2024-02-16,789 Rodeo Dr,Santa ana,CA,92001,Fresno,2125011328,patricia.taylor@email.com,Stanford University School of Medicine,2013,UCLA Medical Center,,"English, Spanish",True,,Yes,Cedars-Sinai Medical Center,2025-07-17,789,Rodeo,Dr
A53452,"Smith, Fatima DO",Fatima,Smith,A,DO,Physician and Surgeon,Neurology,,Expired,2023-08-12,2025-02-08,2024-07-13,7644 Pico Blvd,San jose,CA,90004,Orange,7183455760,,NYU Grossman School of Medicine,1981,Massachusetts General Hospital,Neurology,"English, Mandarin",False,,Yes,,2025-04-24,7644,Pico,Blvd
A21923,"Susan Garcia, DO PhD",Susan,Garcia,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2021-11-15,2025-01-28,2024-03-30,5326 Pico Blvd,San jose,CA,90003,Alameda,6466834273,susan.garcia@email.com,Stanford University School of Medicine,1998,Massachusetts General Hospital,Family Medicine,"English, Mandarin",False,Yes - See Details,Unknown,Stanford Hospital,2025-08-13,5326,Pico,Blvd
A75437,"Priya Ramirez, DO",Priya,Ramirez,,DO,Physician and Surgeon,Emergency Medicine,Nephrology,Expired,2022-12-13,2025-01-25,2024-11-23,4941 Pico Blvd,Fresno,CA,91001,Orange,7183158003,priya.ramirez@email.com,Stanford University School of Medicine,2009,UCLA Medical Center,,"English, Spanish",True,,No,,2025-03-25,4941,Pico,Blvd
A50135,"Linda Shah, DO",Linda,Shah,,DO,Physician and Surgeon,Nephrology,,Expired,2022-06-13,2025-01-25,2024-03-19,8042 Santa Monica Blvd,Los angeles,CA,90002,Sacramento,3474574777,,Stanford University School of Medicine,2000,Mayo Clinic,Nephrology,"English, Mandarin",True,,Unknown,UCLA Medical Center,2025-08-27,8042,Santa Monica,Blvd
A35430,"Linda White, DO",Linda,White,,DO,Physician and Surgeon,Otolaryngology,,Expired,2021-10-12,2025-01-23,2024-09-18,4669 Santa Monica Blvd,San jose,CA,940**,Los angeles,4243415096,,Yale School of Medicine,1995,Johns Hopkins Hospital,,English,False,,Unknown,Cedars-Sinai Medical Center,2025-07-22,4669,Santa Monica,Blvd
A44048,"Rodriguez, Barbara MD PhD",Barbara,Rodriguez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2021-04-21,2025-01-09,2024-04-20,4916 Melrose Ave,Los angeles,CA,92001,Orange,9177909821,barbara.rodriguez@email.com,NYU Grossman School of Medicine,1996,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,,No,Cedars-Sinai Medical Center,2025-05-26,4916,Melrose,Ave
A34368,"Sarah Clark, MD PhD",Sarah,Clark,,MD PhD,Physician and Surgeon,Psychiatry,Anesthesiology,Expired,2023-01-11,2025-01-02,2024-01-29,8692 Beverly Dr,Oakland,CA,90001,Alameda,8182116388,sarah.clark@email.com,NYU Grossman School of Medicine,1981,Cleveland Clinic,,"English, Mandarin",False,,Unknown,UCSF Medical Center,2025-05-04,8692,Beverly,Dr
A59827,"Wei Robinson, MD PhD",Wei,Robinson,D,MD PhD,Physician and Surgeon,Neurology,,Expired,2023-10-23,2024-12-20,2024-11-16,2743 Main St,Los angeles,CA,93001,Fresno,7186043014,wei.robinson@email.com,University of Pennsylvania Perelman School of Medicine,1992,UCLA Medical Center,,"English, Spanish",True,,Yes,Cedars-Sinai Medical Center,2025-05-18,2743,Main,St
A95240,"Ahmed Williams, MD PhD",Ahmed,Williams,,MD PhD,Physician and Surgeon,Gastroenterology,,Expired,2021-04-20,2024-12-18,2024-08-19,6820 Pico Blvd,San diego,CA,94001,Riverside,2138981296,,UCLA David Geffen School of Medicine,2013,UCSF Medical Center,,"English, Mandarin",True,,Yes,,2025-05-28,6820,Pico,Blvd
A93586,"DAVID SHAH, DO",David,Shah,,DO,Physician and Surgeon,Nephrology,,Expired,2022-06-07,2024-12-15,2024-04-22,636 Rodeo Dr,Fresno,CA,95001,Sacramento,9297568880,david.shah@email.com,Stanford University School of Medicine,2002,NewYork-Presbyterian Hospital,Nephrology,"English, Mandarin",True,,No,UCLA Medical Center,2025-06-12,636,Rodeo,Dr
A61007,"John Wilson, DO",John,Wilson,,DO,Physician and Surgeon,Oncology,,Expired,2021-06-14,2024-11-10,2024-04-27,6526 Wilshire Blvd,Fresno,CA,90003,Contra costa,9298197499,john.wilson@email.com,UCSF School of Medicine,1999,Mount Sinai Hospital,Oncology,"English, Mandarin",True,,No,Kaiser Permanente,2025-07-20,6526,Wilshire,Blvd
A85230,"Jones, Rajesh MD PhD",Rajesh,Jones,,MD PhD,Physician and Surgeon,Gastroenterology,,Expired,2023-01-23,2024-11-09,2024-03-27,5629 Ventura Blvd,Los angeles,CA,93001,Alameda,2128448752,rajesh.jones@email.com,Harvard Medical School,1983,NewYork-Presbyterian Hospital,Gastroenterology,"English, Spanish",True,,Unknown,UCSF Medical Center,2025-07-05,5629,Ventura,Blvd
A98487,"Patricia Garcia, MD PhD",Patricia,Garcia,A,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2022-08-03,2024-11-05,2024-10-19,8402 Ventura Blvd,San diego,CA,90005,Riverside,3475547616,patricia.garcia@email.com,Yale School of Medicine,1988,Mayo Clinic,Emergency Medicine,"English, Spanish, Portuguese",False,,Unknown,UCSF Medical Center,2025-05-31,8402,Ventura,Blvd
A81791,"BARBARA CLARK, MD PHD",Barbara,Clark,A,MD PhD,Physician and Surgeon,Pulmonology,Ophthalmology,Expired,2020-01-15,2024-10-31,2024-01-21,1645 Sunset Blvd,Fresno,CA,94001,Alameda,9297892347,barbara.clark@email.com,Yale School of Medicine,2004,Mayo Clinic,Pulmonology,English,True,,Yes,Cedars-Sinai Medical Center,2025-05-27,1645,Sunset,Blvd
A81874,"Fatima Lewis, MD",Fatima,Lewis,,MD,Physician and Surgeon,Oncology,,Expired,2020-02-18,2024-10-27,2024-05-31,5278 Pico Blvd,San francisco,CA,90002,Los angeles,6268664522,,UCLA David Geffen School of Medicine,2003,UCLA Medical Center,,"English, Mandarin",False,,Yes,,2025-06-27,5278,Pico,Blvd
A28955,"Patricia Wang, DO PhD",Patricia,Wang,A,DO PhD,Physician and Surgeon,Radiology,Pathology,Expired,2020-08-23,2024-10-25,2024-04-01,9190 Pico Blvd,San jose,CA,90002,Los angeles,3239391060,patricia.wang@email.com,University of Michigan Medical School,1988,Johns Hopkins Hospital,Radiology,"English, Mandarin",True,,Yes,Stanford Hospital,2025-07-02,9190,Pico,Blvd
A68838,"Liu, William DO",William,Liu,,DO,Physician and Surgeon,Anesthesiology,,Expired,2020-07-10,2024-10-23,2024-06-18,1235 Sunset Blvd,Santa ana,CA,93001,Santa clara,9297192215,,Harvard Medical School,1988,Massachusetts General Hospital,,"English, Spanish",True,,Yes,UCLA Medical Center,2025-07-10,1235,Sunset,Blvd
A74105,"Karen Jones, MD PhD",Karen,Jones,,MD PhD,Physician and Surgeon,Ophthalmology,,Expired,2023-08-30,2024-10-03,2024-04-08,5228 Santa Monica Blvd,Sacramento,CA,93001,Contra costa,9296128596,karen.jones@email.com,Johns Hopkins School of Medicine,2007,UCSF Medical Center,,"English, Spanish",True,,Unknown,,2025-07-24,5228,Santa Monica,Blvd
A77361,"Priya Wilson, DO PhD",Priya,Wilson,,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2023-08-31,2024-10-03,2023-12-13,3079 Santa Monica Blvd,San diego,CA,91001,Alameda,4247254326,priya.wilson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2015,UCSF Medical Center,Anesthesiology,"English, Mandarin",False,,No,UCLA Medical Center,2025-08-18,3079,Santa Monica,Blvd
A28830,Dr. Charles Robinson,Charles,Robinson,,MD,Physician and Surgeon,Pediatrics,Nephrology,Expired,2021-12-01,2024-10-02,2024-09-29,2590 Santa Monica Blvd,Oakland,CA,93001,Los angeles,3103255382,charles.robinson@email.com,Stanford University School of Medicine,2007,Massachusetts General Hospital,Pediatrics,"English, Mandarin",True,,Unknown,UCSF Medical Center,2025-07-19,2590,Santa Monica,Blvd
A36365,"Dave Shah, MD",Dave,Shah,D,MD,Physician and Surgeon,Oncology,Orthopedic Surgery,Expired,2020-04-24,2024-09-30,2024-01-11,8728 Sunset Blvd,San francisco,CA,93001,Riverside,2128024770,dave.shah@email.com,Stanford University School of Medicine,2016,Massachusetts General Hospital,Oncology,English,True,,No,Stanford Hospital,2025-05-21,8728,Sunset,Blvd
A78632,"Elizabeth Kumar, MD",Elizabeth,Kumar,,MD,Physician and Surgeon,Radiology,,Expired,2020-03-16,2024-09-27,2024-07-19,8193 Sunset Blvd,San jose,CA,91001,Contra costa,7182046095,elizabeth.kumar@email.com,UCSF School of Medicine,1997,Massachusetts General Hospital,Radiology,English,False,,No,,2025-08-21,8193,Sunset,Blvd
A74517,"Mary Thompson, MD",Mary,Thompson,,MD,Physician and Surgeon,Orthopedic Surgery,,Expired,2020-09-17,2024-09-24,2023-12-09,5762 Pico Blvd,San francisco,CA,95001,Fresno,3102006435,mary.thompson@email.com,NYU Grossman School of Medicine,2008,Mayo Clinic,Orthopedic Surgery,"English, Spanish",True,,No,Stanford Hospital,2025-04-07,5762,Pico,Blvd
A48170,"Sarah Moore, MD",Sarah,Moore,,MD,Physician and Surgeon,Gastroenterology,,Expired,2020-08-20,2024-09-20,2024-04-22,2426 Ventura Blvd,Fresno,CA,90001,Orange,3475935215,sarah.moore@email.com,University of Pennsylvania Perelman School of Medicine,2016,NewYork-Presbyterian Hospital,Gastroenterology,"English, Spanish",True,,Yes,UCLA Medical Center,2025-06-15,2426,Ventura,Blvd
A70771,"John Harris, DO PhD",John,Harris,B,DO PhD,Physician and Surgeon,Pulmonology,Emergency Medicine,Expired,2021-07-23,2024-09-18,2023-10-21,4919 Pico Blvd,San francisco,CA,94001,Contra costa,9173584106,john.harris@email.com,NYU Grossman School of Medicine,1987,Mount Sinai Hospital,Pulmonology,"English, Spanish",False,,No,UCSF Medical Center,2025-06-15,4919,Pico,Blvd
A69183,"Fatima Rodriguez, DO",Fatima,Rodriguez,,DO,Physician and Surgeon,Pediatrics,,Expired,2021-07-09,2024-09-15,2024-05-01,5411 Pico Blvd,Oakland,CA,92001,Sacramento,9172717322,fatima.rodriguez@email.com,Columbia University Vagelos College of Physicians and Surgeons,2003,Johns Hopkins Hospital,Pediatrics,"English, Spanish, Portuguese",False,,Unknown,UCSF Medical Center,2025-07-13,5411,Pico,Blvd
A82562,"Jennifer Williams, DO",Jennifer,Williams,,DO,Physician and Surgeon,Radiology,,Expired,2022-02-23,2024-09-15,2023-12-22,948 Ventura Blvd,Fresno,CA,92001,San diego,3238398244,jennifer.williams@email.com,University of Pennsylvania Perelman School of Medicine,1993,NewYork-Presbyterian Hospital,,"English, Spanish",True,,Unknown,,2025-08-30,948,Ventura,Blvd
A48780,"Taylor, Ahmed DO PhD",Ahmed,Taylor,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2022-10-09,2024-08-27,2023-10-30,3264 Rodeo Dr,Santa ana,CA,90002,San bernardino,4245604588,,Columbia University Vagelos College of Physicians and Surgeons,1977,Mayo Clinic,Family Medicine,"English, Spanish, Portuguese",True,,No,Kaiser Permanente,2025-03-15,3264,Rodeo,Dr
A94840,"William Thompson, DO",William,Thompson,D,DO,Physician and Surgeon,Endocrinology,,Expired,2020-03-08,2024-08-27,2023-09-11,4506 Melrose Avenue,Santa ana,CA,90003,Santa clara,9178589614,william.thompson@email.com,NYU Grossman School of Medicine,1992,Mount Sinai Hospital,Endocrinology,English,True,,Unknown,Kaiser Permanente,2025-03-17,4506,Melrose,Ave
A49748,"Jessica White, MD",Jessica,White,,MD,Physician and Surgeon,Nephrology,,Expired,2023-06-03,2024-08-25,2023-12-12,6695 Wilshire Blvd,San diego,CA,91001,San diego,6469579008,jessica.white@email.com,NYU Grossman School of Medicine,1985,Johns Hopkins Hospital,Nephrology,"English, Spanish, Portuguese",False,,Yes,,2025-08-19,6695,Wilshire,Blvd
A26718,"ANA MARTIN, DO PHD",Ana,Martin,,DO PhD,Physician and Surgeon,Internal Medicine,,Expired,2020-02-15,2024-08-25,2023-09-19,5641 Wilshire Blvd,Los angeles,CA,95001,Fresno,9176427459,ana.martin@email.com,UCLA David Geffen School of Medicine,1995,UCSF Medical Center,,English,True,Yes - See Details,No,Kaiser Permanente,2025-05-26,5641,Wilshire,Blvd
A14847,"Jessica Perez, DO",Jessica,Perez,,DO,Physician and Surgeon,Neurology,,Expired,2022-01-31,2024-08-23,2024-04-11,7613 Santa Monica Blvd,San francisco,CA,90003,San diego,3472374131,,NYU Grossman School of Medicine,2014,NewYork-Presbyterian Hospital,,"English, Mandarin",True,,Unknown,UCSF Medical Center,2025-06-24,7613,Santa Monica,Blvd
A34884,"Thomas, Mohammed DO PhD",Mohammed,Thomas,,DO PhD,Physician and Surgeon,Pulmonology,Ophthalmology,Expired,2023-06-09,2024-08-19,2023-09-15,644 Ventura Blvd,Oakland,CA,94001,Fresno,8187293330,mohammed.thomas@email.com,Yale School of Medicine,2014,Johns Hopkins Hospital,,English,False,,Yes,,2025-06-02,644,Ventura,Blvd
A87280,"Jennifer Zhang, DO",Jennifer,Zhang,,DO,Physician and Surgeon,Dermatology,Nephrology,Expired,2021-11-14,2024-08-18,2023-12-29,9038 Melrose Ave,Santa ana,CA,90003,San bernardino,4249003717,,Johns Hopkins School of Medicine,1991,Mayo Clinic,Dermatology,"English, Spanish, Portuguese",False,,Yes,Cedars-Sinai Medical Center,2025-08-09,9038,Melrose,Ave
A29356,"Patricia Yang, DO PhD",Patricia,Yang,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2021-11-12,2024-08-12,2024-03-15,7217 Main St,San jose,CA,90004,Riverside,9174089952,,UCSF School of Medicine,1984,Mayo Clinic,,"English, Spanish, Portuguese",False,,Unknown,UCLA Medical Center,2025-05-20,7217,Main,St
A93579,"Wei Kumar, DO PhD",Wei,Kumar,B,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2022-02-21,2024-07-21,2023-10-17,8977 Santa Monica Blvd,San francisco,CA,93001,Contra costa,9297532320,wei.kumar@email.com,UCLA David Geffen School of Medicine,2002,Mayo Clinic,Endocrinology,"English, Mandarin",True,,Unknown,,2025-08-17,8977,Santa Monica,Blvd
A30374,"Susan Smith, MD PhD",Susan,Smith,,MD PhD,Physician and Surgeon,Anesthesiology,Oncology,Expired,2021-12-25,2024-07-11,2024-04-13,1698 Sunset Blvd,Fresno,CA,90002,San diego,7188497939,,NYU Grossman School of Medicine,2020,Mayo Clinic,Anesthesiology,English,False,,Unknown,Kaiser Permanente,2025-03-13,1698,Sunset,Blvd
A85684,"Wei Miller, DO",Wei,Miller,,DO,Physician and Surgeon,Gastroenterology,,Expired,2019-11-22,2024-07-04,2023-10-28,6744 Main St,Fresno,CA,90003,Orange,3105351040,wei.miller@email.com,NYU Grossman School of Medicine,1987,Johns Hopkins Hospital,Gastroenterology,"English, Spanish, Portuguese",True,,No,UCSF Medical Center,2025-08-30,6744,Main,St
A78062,"LINDA SANCHEZ, DO PHD",Linda,Sanchez,,DO PhD,Physician and Surgeon,Pediatrics,,Expired,2021-03-30,2024-06-30,2023-10-27,6335 Beverly Dr,San francisco,CA,93001,San diego,7185355843,,UCLA David Geffen School of Medicine,1981,Mayo Clinic,,"English, Mandarin",True,,Unknown,Cedars-Sinai Medical Center,2025-05-23,6335,Beverly,Dr
A48800,"Priya Shah, DO",Priya,Shah,,DO,Physician and Surgeon,Pulmonology,,Expired,2021-12-01,2024-06-24,2023-08-28,8384 Wilshire Blvd,San diego,CA,900**,Alameda,7189761751,priya.shah@email.com,NYU Grossman School of Medicine,2010,UCLA Medical Center,Pulmonology,"English, Mandarin",True,,Yes,Stanford Hospital,2025-05-15,8384,Wilshire,Blvd
A84725,"Ahmed Anderson, MD",Ahmed,Anderson,,MD,Physician and Surgeon,Cardiology,,Expired,2021-05-10,2024-06-19,2024-02-07,1889 Sunset Blvd,Santa ana,CA,90002,Fresno,2126808844,,Harvard Medical School,2003,UCSF Medical Center,Cardiology,"English, Spanish",True,,Yes,,2025-04-17,1889,Sunset,Blvd
A99573,"PRIYA CLARK, MD PHD",Priya,Clark,,MD PhD,Physician and Surgeon,Dermatology,,Expired,2020-04-12,2024-05-28,2023-08-13,6921 Main Street,San diego,CA,90001,San diego,6269574675,priya.clark@email.com,Yale School of Medicine,2002,NewYork-Presbyterian Hospital,,English,False,,Unknown,Stanford Hospital,2025-07-18,6921,Main,St
A97163,"Carlos Johnson, DO",Carlos,Johnson,,DO,Physician and Surgeon,Psychiatry,Psychiatry,Expired,2021-09-13,2024-05-23,2024-05-17,5428 Beverly Dr,San jose,CA,90004,Sacramento,7183971853,,Johns Hopkins School of Medicine,2005,Johns Hopkins Hospital,Psychiatry,"English, Spanish",True,,Unknown,Kaiser Permanente,2025-08-03,5428,Beverly,Dr
A97428,"Jennifer Lee, DO PhD",Jennifer,Lee,,DO PhD,Physician and Surgeon,Pediatrics,Cardiology,Expired,2020-04-21,2024-05-23,2024-01-30,9861 Sunset Blvd,Santa ana,CA,93001,Contra costa,3476557249,,Harvard Medical School,2014,UCLA Medical Center,Pediatrics,English,False,,Yes,,2025-07-24,9861,Sunset,Blvd
A93380,"James Martinez, DO",James,Martinez,,DO,Physician and Surgeon,Internal Medicine,Nephrology,Expired,2019-10-21,2024-05-15,2023-07-16,3141 Ventura Blvd,Oakland,CA,91001,Fresno,6264863071,james.martinez@email.com,Stanford University School of Medicine,2003,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,,Unknown,UCSF Medical Center,2025-08-12,3141,Ventura,Blvd
A62383,"MICHAEL X THOMAS, DO PHD",Michael,Thomas,D,DO PhD,Physician and Surgeon,Dermatology,,Expired,2022-10-13,2024-05-14,2024-03-20,1194 Santa Monica Blvd,Oakland,CA,95001,Los angeles,9173248478,,Yale School of Medicine,1986,UCLA Medical Center,,"English, Spanish",True,,Yes,,2025-03-31,1194,Santa Monica,Blvd
A50019,"William Wilson, MD PhD",William,Wilson,,MD PhD,Physician and Surgeon,Orthopedic Surgery,Orthopedic Surgery,Expired,2023-05-03,2024-05-03,2023-09-24,9770 Melrose Ave,Los angeles,CA,90002,Orange,2135421341,,Johns Hopkins School of Medicine,2016,Massachusetts General Hospital,,"English, Spanish, Portuguese",True,,Unknown,Cedars-Sinai Medical Center,2025-07-26,9770,Melrose,Ave
A63884,"LINDA JONES, MD",Linda,Jones,,MD,Physician and Surgeon,Urology,,Expired,2021-04-12,2024-04-22,2023-11-28,9163 Main St,Fresno,CA,92001,San bernardino,9298661425,linda.jones@email.com,University of Pennsylvania Perelman School of Medicine,1983,Johns Hopkins Hospital,,"English, Spanish, Portuguese",False,,Yes,,2025-06-16,9163,Main,St
A70562,"Rajesh Miller, DO",Rajesh,Miller,,DO,Physician and Surgeon,Oncology,,Expired,2022-08-11,2024-04-19,2023-12-22,3997 Ventura Blvd,San francisco,CA,94001,Contra costa,2135981072,rajesh.miller@email.com,Columbia University Vagelos College of Physicians and Surgeons,2005,Johns Hopkins Hospital,Oncology,"English, Mandarin",False,,Unknown,Stanford Hospital,2025-06-29,3997,Ventura,Blvd
A38885,"Carlos Robinson, DO PhD",Carlos,Robinson,,DO PhD,Physician and Surgeon,Radiology,,Expired,2022-12-29,2024-04-15,2024-02-06,449 Santa Monica Blvd,San diego,CA,90005,San bernardino,2138896603,,NYU Grossman School of Medicine,1987,UCLA Medical Center,Radiology,"English, Spanish",True,,Unknown,UCSF Medical Center,2025-06-23,449,Santa Monica,Blvd
A78697,"Robert Moore, MD",Robert,Moore,,MD,Physician and Surgeon,Neurology,,Expired,2019-08-19,2024-04-12,2024-01-31,5841 Santa Monica Blvd,Santa ana,CA,95001,Fresno,3239599810,,University of Michigan Medical School,1989,Cleveland Clinic,Neurology,English,True,,Unknown,Cedars-Sinai Medical Center,2025-03-21,5841,Santa Monica,Blvd
A24938,"Michael Johnson, MD PhD",Michael,Johnson,,MD PhD,Physician and Surgeon,Cardiology,,Expired,2023-01-09,2024-04-09,2023-10-19,5850 Sunset Blvd,San francisco,CA,94001,Riverside,6469069444,michael.johnson@email.com,UCSF School of Medicine,2013,Mount Sinai Hospital,Cardiology,"English, Spanish",True,,No,Kaiser Permanente,2025-07-25,5850,Sunset,Blvd
A39831,"Fatima Perez, DO PhD",Fatima,Perez,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2020-11-11,2024-04-01,2023-07-22,4066 Melrose Ave,San francisco,CA,90002,Los angeles,6267496425,fatima.perez@email.com,Johns Hopkins School of Medicine,2000,NewYork-Presbyterian Hospital,Family Medicine,English,False,,Unknown,UCLA Medical Center,2025-03-31,4066,Melrose,Ave
A90134,"Maria Smith, DO PhD",Maria,Smith,,DO PhD,Physician and Surgeon,Otolaryngology,,Expired,2019-12-02,2024-03-28,2023-11-28,9298 Main St,San francisco,CA,95001,Fresno,6262906500,,University of Pennsylvania Perelman School of Medicine,2003,Cleveland Clinic,Otolaryngology,English,False,,Yes,Kaiser Permanente,2025-07-11,9298,Main,St
A59221,"Maria Lee, DO",Maria,Lee,,DO,Physician and Surgeon,Pediatrics,,Expired,2021-12-11,2024-03-27,2024-03-03,5344 Hollywood Blvd,San diego,CA,90004,Los angeles,6465967119,,NYU Grossman School of Medicine,2006,NewYork-Presbyterian Hospital,,"English, Spanish",False,,Yes,UCLA Medical Center,2025-03-10,5344,Hollywood,Blvd
A97044,"Barbara Martinez, DO PhD",Barbara,Martinez,,DO PhD,Physician and Surgeon,Psychiatry,,Expired,2020-09-10,2024-03-23,2023-04-03,9925 Beverly Dr,Oakland,CA,94001,Sacramento,2127609281,barbara.martinez@email.com,NYU Grossman School of Medicine,2009,Mount Sinai Hospital,Psychiatry,"English, Mandarin",True,,Yes,Cedars-Sinai Medical Center,2025-07-19,9925,Beverly,Dr
A79315,"PATRICIA THOMPSON, DO",Patricia,Thompson,,DO,Physician and Surgeon,Pulmonology,Psychiatry,Expired,2020-10-03,2024-03-20,2023-07-19,3963 Ventura Blvd,San diego,CA,90002,Contra costa,8188034033,patricia.thompson@email.com,NYU Grossman School of Medicine,2008,UCSF Medical Center,Pulmonology,"English, Spanish",True,,No,UCSF Medical Center,2025-04-07,3963,Ventura,Blvd
A27590,"SUSAN THOMPSON, DO",Susan,Thompson,,DO,Physician and Surgeon,Otolaryngology,,Expired,2019-09-22,2024-03-18,2023-06-27,733 Hollywood Blvd,Los angeles,CA,90004,Alameda,2138653675,susan.thompson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2015,UCSF Medical Center,,"English, Spanish",False,,No,UCLA Medical Center,2025-05-30,733,Hollywood,Blvd
A62108,"Charles Taylor, DO",Charles,Taylor,,DO,Physician and Surgeon,Oncology,,Expired,2021-12-16,2024-03-10,2024-03-07,4069 Beverly Dr,Santa ana,CA,90002,San bernardino,9176826804,,Columbia University Vagelos College of Physicians and Surgeons,2018,UCSF Medical Center,Oncology,"English, Spanish, Portuguese",False,,Unknown,Kaiser Permanente,2025-04-16,4069,Beverly,Dr
A28982,"Carlos Zhang, MD",Carlos,Zhang,,MD,Physician and Surgeon,Neurology,,Expired,2019-10-16,2024-03-05,2023-03-17,4982 Santa Monica Blvd,San francisco,CA,95001,San diego,2122986825,,Stanford University School of Medicine,2016,UCLA Medical Center,Neurology,"English, Spanish, Portuguese",True,,Yes,Cedars-Sinai Medical Center,2025-07-14,4982,Santa Monica,Blvd
A82641,"Thomas Gonzalez, MD",Thomas,Gonzalez,,MD,Physician and Surgeon,Otolaryngology,,Expired,2020-05-23,2024-02-29,2023-12-01,7451 Wilshire Blvd,San jose,CA,95001,Sacramento,3234563858,thomas.gonzalez@email.com,Harvard Medical School,2008,UCLA Medical Center,Otolaryngology,"English, Spanish",False,,No,Cedars-Sinai Medical Center,2025-05-08,7451,Wilshire,Blvd
A97632,"Priya Martinez, DO PhD",Priya,Martinez,,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2019-07-19,2024-02-28,2023-04-23,663 Hollywood Blvd,Santa ana,CA,90004,Fresno,6264805314,priya.martinez@email.com,UCLA David Geffen School of Medicine,1995,UCLA Medical Center,Endocrinology,"English, Spanish, Portuguese",False,,Yes,Kaiser Permanente,2025-05-03,663,Hollywood,Blvd
A48005,"Charles Sanchez, MD",Charles,Sanchez,,MD,Physician and Surgeon,Orthopedic Surgery,,Expired,2022-11-23,2024-02-20,2023-07-09,1486 Beverly Dr,Sacramento,CA,90002,Riverside,7188478175,,Harvard Medical School,2009,Cleveland Clinic,Orthopedic Surgery,English,False,,Unknown,,2025-06-01,1486,Beverly,Dr
A60160,"Jessica Anderson, MD PhD",Jessica,Anderson,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2020-10-25,2024-02-19,2023-05-16,1660 Wilshire Blvd,Oakland,CA,91001,Sacramento,7183946087,,Yale School of Medicine,1985,Mayo Clinic,,"English, Spanish, Portuguese",False,,No,Stanford Hospital,2025-08-06,1660,Wilshire,Blvd
A31783,Dr. Joseph Lee,Joseph,Lee,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2021-08-22,2024-02-09,2023-09-13,8429 Ventura Blvd,San diego,CA,90002,Riverside,2136081151,joseph.lee@email.com,Columbia University Vagelos College of Physicians and Surgeons,1991,NewYork-Presbyterian Hospital,Pulmonology,English,False,,No,Kaiser Permanente,2025-04-01,8429,Ventura,Blvd
A80575,"Karen H Ramirez, MD PhD",Karen,Ramirez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-04-17,2024-02-08,2023-10-27,5140 Rodeo Dr,San diego,CA,92001,Riverside,6266186344,,Johns Hopkins School of Medicine,1982,Cleveland Clinic,,English,False,,Unknown,Kaiser Permanente,2025-05-22,5140,Rodeo,Dr
A23134,"Mohammed Williams, MD PhD",Mohammed,Williams,D,MD PhD,Physician and Surgeon,Pathology,,Expired,2022-03-26,2024-01-19,2023-06-18,5880 Main St,San francisco,CA,92001,Orange,4247898126,,University of Pennsylvania Perelman School of Medicine,1987,NewYork-Presbyterian Hospital,,"English, Spanish",False,,Yes,Cedars-Sinai Medical Center,2025-08-31,5880,Main,St
A68277,"Karen Jones, DO",Karen,Jones,,DO,Physician and Surgeon,Psychiatry,,Expired,2021-12-26,2024-01-16,2023-07-24,2065 Ventura Blvd,Fresno,CA,91001,Los angeles,3477979866,karen.jones@email.com,Columbia University Vagelos College of Physicians and Surgeons,1986,UCLA Medical Center,Psychiatry,"English, Spanish, Portuguese",True,,Yes,UCLA Medical Center,2025-05-27,2065,Ventura,Blvd
