provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,license_number_gt,provider_name_gt,first_name_gt,last_name_gt,license_type_gt,profession_code_gt,specialty_gt,status_gt,issue_date_gt,expiration_date_gt,last_renewal_date_gt,address_line1_gt,address_city_gt,address_state_gt,address_zip_gt,phone_gt,disciplinary_actions_gt,board_certified_gt,medical_school_gt,verification_date_gt,house_no_gt,area_gt,area_type_gt
PR_00086,589113523,Robert,Ramirez,DO PhD,"Robert Ramirez, DO PhD",Ophthalmology,9797 First Ave,,Yonkers,NY,14201,6268271725,9797 First Ave,,Yonkers,NY,14201,060NY825309,NY,2025-05-06,Unknown,False,22,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2025-08-28,213234748X,9797,First,Ave,9797,First,Ave,1,060NY825309,"Robert Ramirez, DO PhD",Robert,Ramirez,Physician,60,Ophthalmology,Expired,2021-01-23,2025-05-06,2025-03-03,9797 First Ave,Yonkers,NY,14201,6268271725,[],False,UCLA David Geffen School of Medicine,2025-09-02,9797,First,Ave
PR_00087,5738757176,Thomas,Anderson,DO,"Thomas Anderson, DO",Anesthesiology,6409 First Ave,,Albany,NY,10003,8189138412,1713 Lexington Ave,Suite 847,Yonkers,NY,10003,060NY248557,NY,2024-12-14,No,True,20,Harvard Medical School,Johns Hopkins Hospital,2025-08-22,246047142X,6409,First,Ave,1713,Lexington,Ave,1,060NY248557,"Thomas Anderson, DO",Thomas,Anderson,Physician,60,Anesthesiology,Expired,2018-01-12,2024-12-14,2023-08-28,6409 First Ave,Albany,NY,10003,8189138412,[],True,Harvard Medical School,2025-09-02,6409,First,Ave
PR_00089,6969155799,Ana,Sharma,DO,"Ana Sharma, DO",Urology,3229 First Ave,,Brooklyn,NY,10005,6468895873,3229 First Ave,,Brooklyn,NY,10005,060NY770153,NY,2024-10-03,Unknown,True,9,NYU Grossman School of Medicine,Johns Hopkins Hospital,2025-05-03,240987410X,3229,First,Ave,3229,First,Ave,1,060NY770153,"Ana Sharma, DO",Ana,Sharma,Physician,60,Urology,Expired,2019-05-07,2024-10-03,2023-11-16,3229 First Ave,Brooklyn,NY,10005,6468895873,[],True,NYU Grossman School of Medicine,2025-09-02,3229,First,Ave
PR_00091,9788191484,Barbara,Clark,DO PhD,"Barbara Clark, DO PhD",Orthopedic Surgery,1355 Amsterdam Ave,Suite 381,New york,NY,10004,9297551681,1355 Amsterdam Ave,Suite 381,New york,NY,10004,060NY402692,NY,2023-12-11,Unknown,False,35,University of Pennsylvania Perelman School of Medicine,UCSF Medical Center,2025-07-12,298782730X,1355,Amsterdam,Ave,1355,Amsterdam,Ave,1,060NY402692,"Barbara Clark, DO PhD",Barbara,Clark,Physician,60,Orthopedic Surgery,Expired,2020-09-11,2023-12-11,2023-02-07,1355 Amsterdam Ave,New york,NY,10004,9297551681,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02,1355,Amsterdam,Ave
PR_00094,170127704,Christopher,Ramirez,DO,"Christopher Ramirez, DO",Internal Medicine,5290 Lexington Ave,,Rochester,NY,14201,2134073161,5290 Lexington Ave,,Rochester,NY,14201,060NY608913,NY,2024-12-04,Unknown,False,11,Columbia University Vagelos College of Physicians and Surgeons,Johns Hopkins Hospital,2024-10-02,248376818X,5290,Lexington,Ave,5290,Lexington,Ave,1,060NY608913,"Christopher Ramirez, DO",Christopher,Ramirez,Physician,60,Internal Medicine,Expired,2018-02-24,2024-12-04,2024-03-08,5290 Lexington Ave,Rochester,NY,14201,2134073161,"[{""action_type"": ""Fine"", ""action_date"": ""2024-03-01"", ""description"": ""Disciplinary action related to professional conduct""}]",False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02,5290,Lexington,Ave
PR_00096,927532699,David,Miller,MD,"David Miller, MD",Otolaryngology,4903 Madison Ave,,Yonkers,NY,10003,6266534559,4903 Madison Ave,,Yonkers,NY,10003,060NY171734,NY,2025-12-22,Yes,True,9,Stanford University School of Medicine,UCSF Medical Center,2025-03-07,257631581X,4903,Madison,Ave,4903,Madison,Ave,1,060NY171734,"David Miller, MD",David,Miller,Physician,60,Otolaryngology,Active,2023-10-01,2025-12-22,2024-09-18,4903 Madison Ave,Yonkers,NY,10003,6266534559,[],True,Stanford University School of Medicine,2025-09-02,4903,Madison,Ave
PR_00097,3898364031,Mary,Rodriguez,DO,"Mary Rodriguez, DO",Anesthesiology,1381 Park Ave,,Albany,NY,14202,3105952847,1381 Park Ave,,Albany,NY,14202,060NY916808,NY,2023-02-24,Yes,False,39,Stanford University School of Medicine,Massachusetts General Hospital,2025-03-02,242476240X,1381,Park,Ave,1381,Park,Ave,1,060NY916808,"Mary Rodriguez, DO",Mary,Rodriguez,Physician,60,Anesthesiology,Expired,2021-02-20,2023-02-24,2022-12-09,1381 Park Ave,Albany,NY,14202,3105952847,[],False,Stanford University School of Medicine,2025-09-02,1381,Park,Ave
PR_00098,6618892415,Robert,Harris,DO PhD,"Robert Harris, DO PhD",Gastroenterology,2831 First Ave,,Brooklyn,NY,10001,3472809377,3535 Broadway,,New york,NY,10001,060NY759104,NY,2025-10-23,Yes,True,35,NYU Grossman School of Medicine,UCSF Medical Center,2024-11-06,285133532X,2831,First,Ave,3535,Broadway,,1,060NY759104,"Robert Harris, DO PhD",Robert,Harris,Physician,60,Gastroenterology,Active,2022-04-12,2025-10-23,2024-04-12,2831 First Ave,Brooklyn,NY,10001,3472809377,[],True,NYU Grossman School of Medicine,2025-09-02,2831,First,Ave
PR_00100,8000307565,Sarah,Jones,DO PhD,"Sarah Jones, DO PhD",Psychiatry,5901 Broadway,Suite 261,Syracuse,NY,14202,6463831579,5901 Broadway,Suite 261,Syracuse,NY,14202,060NY207903,NY,2023-08-25,Unknown,False,15,NYU Grossman School of Medicine,Cleveland Clinic,2025-02-01,296675408X,5901,Broadway,,5901,Broadway,,1,060NY207903,"Sarah Jones, DO PhD",Sarah,Jones,Physician,60,Psychiatry,Expired,2021-07-23,2023-08-25,2021-11-08,5901 Broadway,Syracuse,NY,14202,6463831579,[],False,NYU Grossman School of Medicine,2025-09-02,5901,Broadway,
PR_00101,4451870534,Mary,Moore,MD,"Mary Moore, MD",Pulmonology,1957 York Ave,Suite 628,New york,NY,10003,3477775979,1957 York Ave,Suite 628,New york,NY,10003,060NY520400,NY,2023-05-22,Unknown,True,30,NYU Grossman School of Medicine,Mount Sinai Hospital,2025-05-25,298309564X,1957,York,Ave,1957,York,Ave,1,060NY520400,"Mary Moore, MD",Mary,Moore,Physician,60,Pulmonology,Expired,2017-01-29,2023-05-22,2023-03-31,1957 York Ave,New york,NY,10003,3477775979,[],True,NYU Grossman School of Medicine,2025-09-02,1957,York,Ave
PR_00181,4521117519,Mohammed,Sharma,DO,"Mohammed Sharma, DO",Gastroenterology,5300 First Ave,,New york,NY,10003,3239247292,5300 First Ave,,New york,NY,10003,060NY311741,NY,2025-07-20,Unknown,True,25,Yale School of Medicine,UCSF Medical Center,2025-08-11,222935793X,5300,First,Ave,5300,First,Ave,1,060NY311741,Mohammed Sharma DO,Mohammed,Sharma,Physician,60,Gastroenterology,Expired,2019-08-16,2025-07-20,2023-10-14,5300 First Ave,New york,NY,10003,3239247292,[],True,Yale School of Medicine,2025-09-02,5300,First,Ave
PR_00103,7431329120,Elizabeth,Garcia,MD,"Elizabeth Garcia, MD",Radiology,6462 Fifth Ave,,New york,NY,11202,7183688365,4779 Lexington Ave,,Rochester,NY,11202,060NY871073,NY,2024-10-30,No,False,27,Stanford University School of Medicine,UCLA Medical Center,2025-05-19,260655283X,6462,Fifth,Ave,4779,Lexington,Ave,1,060NY871073,"Elizabeth Garcia, MD",Elizabeth,Garcia,Physician,60,Radiology,Expired,2018-06-18,2024-10-30,2024-03-04,6462 Fifth Ave,New york,NY,11202,7183688365,[],False,Stanford University School of Medicine,2025-09-02,6462,Fifth,Ave
PR_00105,3721510706,Wei,Anderson,DO,"Wei Anderson, DO",Pediatrics,6564 Third Ave,,Brooklyn,NY,14202,6467878096,6564 Third Ave,,Brooklyn,NY,14202,060NY178629,NY,2023-02-14,Unknown,False,32,Harvard Medical School,UCSF Medical Center,2024-09-18,257265875X,6564,Third,Ave,6564,Third,Ave,1,060NY178629,"Wei Anderson, DO",Wei,Anderson,Physician,60,Pediatrics,Expired,2018-12-11,2023-02-14,2022-03-15,6564 Third Ave,Brooklyn,NY,14202,6467878096,[],False,Harvard Medical School,2025-09-02,6564,Third,Ave
PR_00107,5932133483,Patricia,Wang,MD PhD,"Patricia Wang, MD PhD",Endocrinology,2947 Broadway,Suite 930,Rochester,NY,14202,8182574594,2947 Broadway,Suite 930,Rochester,NY,14202,060NY161437,NY,2025-08-24,Unknown,False,23,Johns Hopkins School of Medicine,Mayo Clinic,2025-05-04,279526622X,2947,Broadway,,2947,Broadway,,1,060NY161437,"Patricia Wang, MD PhD",Patricia,Wang,Physician,60,Endocrinology,Expired,2023-07-27,2025-08-24,2025-06-04,2947 Broadway,Rochester,NY,14202,8182574594,[],False,Johns Hopkins School of Medicine,2025-09-02,2947,Broadway,
PR_00112,8444310695,William,Jones,MD,"William Jones, MD",Ophthalmology,7910 Central Park West,,New york,NY,11202,3237023516,7114 Madison Ave,,New york,NY,11202,060NY299212,NY,2025-04-18,Yes,False,1,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2025-04-05,288854850X,7910,Central Park,West,7114,Madison,Ave,1,060NY299212,"William Jones, MD",William,Jones,Physician,60,Ophthalmology,Expired,2021-12-03,2025-04-18,2025-03-28,7910 Central Park West,New york,NY,11202,3237023516,[],False,UCLA David Geffen School of Medicine,2025-09-02,7910,Central Park,West
PR_00113,7741862562,Rajesh,Liu,DO PhD,"Rajesh Liu, DO PhD",Oncology,422 Park Ave,,Queens,NY,10005,9293918303,422 Park Ave,,Queens,NY,10005,060NY221119,NY,2024-09-23,Yes,False,29,UCSF School of Medicine,NewYork-Presbyterian Hospital,2025-05-10,236045780X,422,Park,Ave,422,Park,Ave,1,060NY221119,"Liu, Rajesh DO PhD",Rajesh,Liu,Physician,60,Oncology,Expired,2021-10-13,2024-09-23,2022-11-06,422 Park Ave,Queens,NY,10005,9293918303,[],False,UCSF School of Medicine,2025-09-02,422,Park,Ave
PR_00115,1168685480,Ana,Gonzalez,DO,"Ana Gonzalez, DO",Radiology,1284 Columbus Ave,,Yonkers,NY,10004,3102129561,1284 Columbus Ave,,Yonkers,NY,10004,060NY974625,NY,2024-06-12,No,True,27,Johns Hopkins School of Medicine,Mayo Clinic,2024-11-16,278911183X,1284,Columbus,Ave,1284,Columbus,Ave,1,060NY974625,"Ana Gonzalez, DO",Ana,Gonzalez,Physician,60,Radiology,Expired,2021-07-17,2024-06-12,2023-11-17,1284 Columbus Ave,Yonkers,NY,10004,3102129561,[],True,Johns Hopkins School of Medicine,2025-09-02,1284,Columbus,Ave
PR_00116,9702462995,Sarah,Miller,MD,"Sarah Miller, MD",Otolaryngology,1655 Lexington Ave,,Albany,NY,11201,6269107581,1655 Lexington Ave,,Albany,NY,11201,060NY786594,NY,2025-09-21,Yes,False,22,University of Pennsylvania Perelman School of Medicine,Massachusetts General Hospital,2025-01-02,236048781X,1655,Lexington,Ave,1655,Lexington,Ave,1,060NY786594,"Sarah Miller, MD",Sarah,Miller,Physician,60,Otolaryngology,Expired,2021-09-12,2025-09-21,2024-11-30,1655 Lexington Ave,Albany,NY,11201,6269107581,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02,1655,Lexington,Ave
PR_00117,7546913733,Mohammed,White,MD,"Mohammed White, MD",Anesthesiology,4966 Lexington Ave,,Buffalo,NY,11203,2139588937,4966 Lexington Ave,,Buffalo,NY,11203,060NY339030,NY,2023-10-03,Unknown,False,4,Yale School of Medicine,Mayo Clinic,2025-07-31,241758234X,4966,Lexington,Ave,4966,Lexington,Ave,1,060NY339030,"Mohammed White, MD",Mohammed,White,Physician,60,Anesthesiology,Expired,2018-09-19,2023-10-03,2021-12-18,4966 Lexington Ave,Buffalo,NY,11203,2139588937,[],False,Yale School of Medicine,2025-09-02,4966,Lexington,Ave
PR_00118,7053457867,Ahmed,Kumar,DO PhD,"Ahmed Kumar, DO PhD",Internal Medicine,8590 Amsterdam Ave,Suite 952,New york,NY,10003,6263261500,8590 Amsterdam Ave,Suite 952,New york,NY,10003,060NY160426,NY,2024-05-25,Yes,False,32,University of Michigan Medical School,Mount Sinai Hospital,2025-06-04,263697356X,8590,Amsterdam,Ave,8590,Amsterdam,Ave,1,060NY160426,"Ahmed Kumar, DO PhD",Ahmed,Kumar,Physician,60,Internal Medicine,Expired,2017-07-03,2024-05-25,2024-05-22,8590 Amsterdam Ave,New york,NY,10003,6263261500,[],False,University of Michigan Medical School,2025-09-02,8590,Amsterdam,Ave
PR_00119,72290348,Sarah,Chen,MD PhD,"Sarah Chen, MD PhD",Endocrinology,4238 Central Park West,Suite 150,Brooklyn,NY,10005,4245125511,9376 Park Ave,,Bronx,NY,10005,060NY382154,NY,2025-04-18,No,False,23,UCSF School of Medicine,NewYork-Presbyterian Hospital,2025-05-14,262639147X,4238,Central Park,West,9376,Park,Ave,1,060NY382154,"Sarah Chen, MD PhD",Sarah,Chen,Physician,60,Endocrinology,Expired,2022-12-05,2025-04-18,2024-07-16,4238 Central Park West,Brooklyn,NY,10005,4245125511,[],False,UCSF School of Medicine,2025-09-02,4238,Central Park,West
PR_00120,1545444329,Charles,Singh,DO PhD,"Charles Singh, DO PhD",Nephrology,121 York Ave,,Rochester,NY,14201,3239834937,121 York Ave,,Rochester,NY,14201,060NY412974,NY,2023-08-10,Yes,False,21,Johns Hopkins School of Medicine,Massachusetts General Hospital,2024-10-02,266756250X,121,York,Ave,121,York,Ave,1,060NY412974,"Charles Singh, DO PhD",Charles,Singh,Physician,60,Nephrology,Expired,2020-12-21,2023-08-10,2022-08-30,121 York Ave,Rochester,NY,14201,3239834937,[],False,Johns Hopkins School of Medicine,2025-09-02,121,York,Ave
PR_00121,8428241727,Charles,Taylor,DO PhD,"Charles Taylor, DO PhD",Pediatrics,579 Amsterdam Ave,,Bronx,NY,11201,8184643999,579 Amsterdam Ave,,Bronx,NY,11201,060NY660605,NY,2025-09-01,Unknown,False,6,University of Pennsylvania Perelman School of Medicine,UCLA Medical Center,2025-05-11,299886165X,579,Amsterdam,Ave,579,Amsterdam,Ave,1,060NY660605,Charles Taylor DO PhD,Charles,Taylor,Physician,60,Pediatrics,Expired,2021-01-23,2025-09-01,2024-04-27,579 Amsterdam Ave,Bronx,NY,11201,8184643999,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02,579,Amsterdam,Ave
PR_00123,6676008352,Mary,Brown,MD,"Mary Brown, MD",Gastroenterology,3431 Madison Ave,,Queens,NY,11203,2125299700,3431 Madison Ave,,Queens,NY,11203,060NY235691,NY,2025-06-07,Yes,True,1,University of Pennsylvania Perelman School of Medicine,Cleveland Clinic,2024-09-12,246217844X,3431,Madison,Ave,3431,Madison,Ave,1,060NY235691,"Mary Brown, MD",Mary,Brown,Physician,60,Gastroenterology,Expired,2021-11-16,2025-06-07,2024-06-08,3431 Madison Ave,Queens,NY,11203,2125299700,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,3431,Madison,Ave
PR_00124,9856257532,Charles,Rodriguez,MD,"Charles Rodriguez, MD",Endocrinology,9645 Lexington Ave,,Queens,NY,10002,6466131313,9645 Lexington Ave,,Queens,NY,10002,060NY404955,NY,2025-07-22,Yes,True,9,University of Pennsylvania Perelman School of Medicine,Massachusetts General Hospital,2024-11-05,267730769X,9645,Lexington,Ave,9645,Lexington,Ave,1,060NY404955,"Charles Rodriguez, MD",Charles,Rodriguez,Physician,60,Endocrinology,Expired,2021-07-30,2025-07-22,2025-01-10,9645 Lexington Ave,Queens,NY,10002,6466131313,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,9645,Lexington,Ave
PR_00126,8356420876,Thomas,Yang,DO,"Thomas Yang, DO",Emergency Medicine,1719 York Ave,Suite 208,Brooklyn,NY,10005,9179048875,1719 York Ave,Suite 208,Brooklyn,NY,10005,060NY738584,NY,2024-02-14,No,True,1,Harvard Medical School,Johns Hopkins Hospital,2025-07-08,277061479X,1719,York,Ave,1719,York,Ave,1,060NY738584,"Thomas Yang, DO",Thomas,Yang,Physician,60,Emergency Medicine,Expired,2020-09-20,2024-02-14,2022-05-20,1719 York Ave,Brooklyn,NY,10005,9179048875,[],True,Harvard Medical School,2025-09-02,1719,York,Ave
PR_00173,3146591165,Thomas,Garcia,DO PhD,"Thomas Garcia, DO PhD",Psychiatry,2137 Madison Ave,Suite 504,Syracuse,NY,14201,2135746706,2137 Madison Ave,Suite 504,Syracuse,NY,14201,060NY305625,NY,2025-12-09,Yes,False,23,University of Michigan Medical School,Massachusetts General Hospital,2025-03-30,222717056X,2137,Madison,Ave,2137,Madison,Ave,1,060NY305625,"Thomas Garcia, DO PhD",Thomas,Garcia,Physician,60,Psychiatry,Active,2023-09-18,2025-12-09,2024-10-05,2137 Madison Ave,Syracuse,NY,14201,2135746706,[],False,University of Michigan Medical School,2025-09-02,2137,Madison,Ave
PR_00130,7797177519,David,Shah,MD PhD,"David Shah, MD PhD",Pediatrics,4558 Broadway,,Albany,NY,10004,3109631291,4558 Broadway,,Albany,NY,10004,060NY956794,NY,2024-04-26,Yes,False,27,Harvard Medical School,Massachusetts General Hospital,2025-07-18,281094790X,4558,Broadway,,4558,Broadway,,1,060NY956794,"David Shah, MD PhD",David,Shah,Physician,60,Pediatrics,Expired,2017-11-15,2024-04-26,2024-02-22,4558 Broadway,Albany,NY,10004,3109631291,[],False,Harvard Medical School,2025-09-02,4558,Broadway,
PR_00132,7080869782,Karen,Gonzalez,DO,"Karen Gonzalez, DO",Dermatology,6438 Park Ave,,Syracuse,NY,10004,6469083845,6791 Broadway,,Brooklyn,NY,10004,060NY717942,NY,2025-10-29,Unknown,True,7,UCLA David Geffen School of Medicine,UCLA Medical Center,2024-12-18,251628545X,6438,Park,Ave,6791,Broadway,,1,060NY717942,"Gonzalez, Karen DO",Karen,Gonzalez,Physician,60,Dermatology,Active,2022-12-06,2025-10-29,2023-11-23,6438 Park Ave,Syracuse,NY,10004,6469083845,[],True,UCLA David Geffen School of Medicine,2025-09-02,6438,Park,Ave
PR_00133,8583339456,Linda,Liu,DO,"Linda Liu, DO",Anesthesiology,5618 Lexington Ave,Suite 716,Syracuse,NY,10003,6263353913,5618 Lexington Ave,Suite 716,Syracuse,NY,10003,060NY884782,NY,2025-11-15,Unknown,False,8,NYU Grossman School of Medicine,Mount Sinai Hospital,2024-11-08,276589761X,5618,Lexington,Ave,5618,Lexington,Ave,1,060NY884782,"Linda Liu, DO",Linda,Liu,Physician,60,Anesthesiology,Inactive,2021-03-11,2025-11-15,2024-02-08,5618 Lexington Ave,Syracuse,NY,10003,6263353913,[],False,NYU Grossman School of Medicine,2025-09-02,5618,Lexington,Ave
PR_00135,5989334729,Michael,Harris,DO PhD,"Michael Harris, DO PhD",Psychiatry,5123 York Ave,,New york,NY,10001,6262764063,5123 York Ave,,New york,NY,10001,060NY918859,NY,2025-06-26,Yes,True,25,Harvard Medical School,UCSF Medical Center,2025-04-13,274705402X,5123,York,Ave,5123,York,Ave,1,060NY918859,"Michael Harris, DO PhD",Michael,Harris,Physician,60,Psychiatry,Expired,2021-07-31,2025-06-26,2024-04-10,5123 York Ave,New york,NY,10001,6262764063,[],True,Harvard Medical School,2025-09-02,5123,York,Ave
PR_00136,8515832815,Thomas,Rodriguez,DO,"Thomas Rodriguez, DO",Radiology,4179 Broadway,,Rochester,NY,11203,3233637814,2519 Third Ave,,New york,NY,11203,060NY415783,NY,2025-10-01,Unknown,False,6,NYU Grossman School of Medicine,Cleveland Clinic,2025-05-16,289031246X,4179,Broadway,,2519,Third,Ave,1,060NY415783,Thomas Rodriguez DO,Thomas,Rodriguez,Physician,60,Radiology,Active,2019-05-28,2025-10-01,2025-02-26,4179 Broadway,Rochester,NY,11203,3233637814,[],False,NYU Grossman School of Medicine,2025-09-02,4179,Broadway,
PR_00137,5616484085,Mary,Perez,MD PhD,"Mary Perez, MD PhD",Internal Medicine,8692 First Ave,Suite 454,Albany,NY,10001,9297269335,8692 First Ave,Suite 454,Albany,NY,10001,060NY773462,NY,2024-05-14,No,False,3,Columbia University Vagelos College of Physicians and Surgeons,Cleveland Clinic,2025-03-22,268973779X,8692,First,Ave,8692,First,Ave,1,060NY773462,Mary Perez MD PhD,Mary,Perez,Physician,60,Internal Medicine,Expired,2018-10-18,2024-05-14,2022-09-22,8692 First Ave,Albany,NY,10001,9297269335,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02,8692,First,Ave
PR_00139,5814491470,Jennifer,Lewis,DO PhD,"Jennifer Lewis, DO PhD",Pediatrics,277 Second Ave,Suite 837,Brooklyn,NY,14201,2136041504,277 Second Ave,Suite 837,Brooklyn,NY,14201,060NY892682,NY,2023-04-04,No,True,35,University of Pennsylvania Perelman School of Medicine,Mayo Clinic,2025-02-14,273245898X,277,Second,Ave,277,Second,Ave,1,060NY892682,"Jennifer Lewis, DO PhD",Jennifer,Lewis,Physician,60,Pediatrics,Expired,2020-11-18,2023-04-04,2022-08-15,277 Second Ave,Brooklyn,NY,14201,2136041504,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,277,Second,Ave
PR_00141,9135775945,David,Jackson,MD,"David Jackson, MD",Anesthesiology,3235 Central Park West,,Syracuse,NY,11201,8187983496,3235 Central Park West,,Syracuse,NY,11201,060NY345925,NY,2023-07-24,Unknown,False,21,UCLA David Geffen School of Medicine,Mayo Clinic,2025-08-31,242038976X,3235,Central Park,West,3235,Central Park,West,1,060NY345925,"David Jackson, MD",David,Jackson,Physician,60,Anesthesiology,Expired,2017-03-08,2023-07-24,2022-04-12,3235 Central Park West,Syracuse,NY,11201,8187983496,[],False,UCLA David Geffen School of Medicine,2025-09-02,3235,Central Park,West
PR_00142,1291428348,Joseph,Anderson,DO PhD,"Joseph Anderson, DO PhD",Ophthalmology,5890 Madison Ave,,Rochester,NY,11203,8188412252,5890 Madison Ave,,Rochester,NY,11203,060NY420310,NY,2025-09-24,Unknown,True,2,Yale School of Medicine,Massachusetts General Hospital,2024-11-09,277698748X,5890,Madison,Ave,5890,Madison,Ave,1,060NY420310,"Joseph Anderson, DO PhD",Joseph,Anderson,Physician,60,Ophthalmology,Revoked,2020-02-18,2025-09-24,2025-08-13,5890 Madison Ave,Rochester,NY,11203,8188412252,[],True,Yale School of Medicine,2025-09-02,5890,Madison,Ave
PR_00145,827231846,Mohammed,Jones,MD PhD,"Mohammed Jones, MD PhD",Urology,3652 York Ave,,Yonkers,NY,11201,9173534062,3652 York Ave,,Yonkers,NY,11201,060NY931161,NY,2025-09-14,Yes,False,39,Stanford University School of Medicine,Cleveland Clinic,2025-02-02,244322017X,3652,York,Ave,3652,York,Ave,1,060NY931161,"Mohammed Jones, MD PhD",Mohammed,Jones,Physician,60,Urology,Expired,2023-09-08,2025-09-14,2025-08-28,3652 York Ave,Yonkers,NY,11201,9173534062,[],False,Stanford University School of Medicine,2025-09-02,3652,York,Ave
PR_00147,1279908814,Karen,Kumar,MD PhD,"Karen Kumar, MD PhD",Urology,5615 First Ave,,Brooklyn,NY,10004,7186933135,272 Park Ave,,Albany,NY,10004,060NY966662,NY,2023-11-03,Unknown,True,28,Yale School of Medicine,UCSF Medical Center,2025-02-25,205830187X,5615,First,Ave,272,Park,Ave,1,060NY966662,"Karen Kumar, MD PhD",Karen,Kumar,Physician,60,Urology,Expired,2019-10-03,2023-11-03,2022-09-04,5615 First Ave,Brooklyn,NY,10004,7186933135,[],True,Yale School of Medicine,2025-09-02,5615,First,Ave
PR_00148,2473149866,Ahmed,Singh,DO PhD,"Ahmed Singh, DO PhD",Gastroenterology,7900 Second Avenue,,Rochester,NY,14202,3473931089,7900 Second Ave,,Rochester,NY,14202,060NY977857,NY,2023-07-20,Unknown,True,37,Yale School of Medicine,Johns Hopkins Hospital,2024-12-10,200965569X,7900,Second,Ave,7900,Second,Ave,1,060NY977857,"Ahmed Singh, DO PhD",Ahmed,Singh,Physician,60,Gastroenterology,Expired,2021-07-05,2023-07-20,2022-04-02,7900 Second Avenue,Rochester,NY,14202,3473931089,[],True,Yale School of Medicine,2025-09-02,7900,Second,Ave
PR_00149,4636887256,Jennifer,Wilson,MD PhD,"Jennifer Wilson, MD PhD",Urology,1747 Madison Ave,Suite 975,Yonkers,NY,14202,3237688925,1747 Madison Ave,Suite 975,Yonkers,NY,14202,060NY692099,NY,2025-01-18,No,False,37,NYU Grossman School of Medicine,UCSF Medical Center,2025-06-24,288487446X,1747,Madison,Ave,1747,Madison,Ave,1,060NY692099,"Jennifer Wilson, MD PhD",Jennifer,Wilson,Physician,60,Urology,Expired,2019-09-20,2025-01-18,2024-09-21,1747 Madison Ave,Yonkers,NY,14202,3237688925,[],False,NYU Grossman School of Medicine,2025-09-02,1747,Madison,Ave
PR_00151,2053021468,Michael,Lopez,DO PhD,"Michael Lopez, DO PhD",Internal Medicine,3305 Columbus Ave,Suite 902,Albany,NY,10005,9298857474,3305 Columbus Ave,Suite 902,Albany,NY,10005,060NY640869,NY,2024-04-19,No,True,34,Harvard Medical School,Johns Hopkins Hospital,2025-07-18,273765077X,3305,Columbus,Ave,3305,Columbus,Ave,1,060NY640869,"Michael Lopez, DO PhD",Michael,Lopez,Physician,60,Internal Medicine,Expired,2019-08-25,2024-04-19,2022-10-03,3305 Columbus Ave,Albany,NY,10005,9298857474,[],True,Harvard Medical School,2025-09-02,3305,Columbus,Ave
PR_00152,8181845189,Charles,Chen,MD PhD,"Charles Chen, MD PhD",Gastroenterology,4531 Park Ave,,Bronx,NY,11203,3477505098,4531 Park Ave,,Bronx,NY,11203,060NY373791,NY,2023-12-25,Unknown,False,25,University of Michigan Medical School,Mount Sinai Hospital,2025-05-01,245588495X,4531,Park,Ave,4531,Park,Ave,1,060NY373791,"Charles Chen, MD PhD",Charles,Chen,Physician,60,Gastroenterology,Expired,2020-01-28,2023-12-25,2023-11-22,4531 Park Ave,Bronx,NY,11203,3477505098,[],False,University of Michigan Medical School,2025-09-02,4531,Park,Ave
PR_00154,1117908077,Thomas,Lopez,DO,"Thomas Lopez, DO",Dermatology,3272 Park Ave,Suite 307,Bronx,NY,10005,9298356167,3272 Park Ave,Suite 307,Bronx,NY,10005,060NY976960,NY,2024-12-30,No,False,32,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-02-11,229808788X,3272,Park,Ave,3272,Park,Ave,1,060NY976960,"Thomas Lopez, DO",Thomas,Lopez,Physician,60,Dermatology,Expired,2019-06-04,2024-12-30,2024-02-15,3272 Park Ave,Bronx,NY,10005,9298356167,[],False,Johns Hopkins School of Medicine,2025-09-02,3272,Park,Ave
PR_00155,1875003699,Carlos,Wang,DO,"Carlos Wang, DO",Pulmonology,6934 First Ave,,Albany,NY,10001,7185336924,6934 First Ave,,Albany,NY,10001,060NY819678,NY,2023-12-24,Unknown,False,12,Yale School of Medicine,NewYork-Presbyterian Hospital,2025-05-04,236159360X,6934,First,Ave,6934,First,Ave,1,060NY819678,"Carlos Wang, DO",Carlos,Wang,Physician,60,Pulmonology,Expired,2019-08-06,2023-12-24,2023-09-06,6934 First Ave,Albany,NY,10001,7185336924,[],False,Yale School of Medicine,2025-09-02,6934,First,Ave
